event_id,event_type,event_date,customer_id,product_id,country,latitude,longitude,region,channel,payment_method,currency,quantity,unit_price_local,discount_code,discount_local,tax_local,net_revenue_local,fx_rate_to_usd,net_revenue_usd,is_refunded,refund_datetime,refund_reason
DB4F1A096586,order,12/9/2024 0:11,CUST0001946,PROD0083,United States,39.8283,-98.5795,,Website,Credit Card,USD,3,36.7,N/A,0,0,110.1,1,110.1,FALSE,,
3550A69EEA36,order,8/11/2025 21:31,CUST0003776,PROD0049,Australia,-25.2744,133.7751,APAC,Website,Invoice,AUD,5,19.7,N/A,0,9.85,108.35,0.66,71.51,FALSE,,
0C3CAE65E90C,order,9/30/2025 15:39,CUST0001105,PROD0075,Canada,56.1304,-106.3468,,Website,Credit Card,USD,1,20.12,N/A,0,1.01,21.13,1,21.13,FALSE,,
7DDC83355865,invoice,9/26/2024 4:13,CUST0003164,PROD0017,United States,39.8283,-98.5795,,Partner,Credit Card,USD,10,19,N/A,0,0,190,1,190,FALSE,,
DAE0B37D8815,order,6/23/2024 16:03,CUST0003410,PROD0099,United States,39.8283,-98.5795,,Website,Credit Card,USD,3,29.38,N/A,0,0,88.14,1,88.14,FALSE,,
E3F98CFBAF5C,order,3/18/2025 12:36,CUST0001294,PROD0026,United States,39.8283,-98.5795,,Website,Wire,USD,25,289,N/A,0,0,7225,1,7225,FALSE,,
D19DCEBB4953,invoice,4/22/2025 19:13,CUST0000333,PROD0059,Australia,-25.2744,133.7751,APAC,Partner,Credit Card,AUD,3,43.94,N/A,0,13.18,145,0.66,95.7,FALSE,,
F820352D6944,order,6/22/2025 2:07,CUST0001698,PROD0100,Germany,51.1657,10.4515,EU,Website,Credit Card,EUR,20,298.37,N/A,0,1193.48,7160.88,1.06,7590.53,FALSE,,
E772636C4653,invoice,4/9/2025 3:49,CUST0000584,PROD0027,Canada,56.1304,-106.3468,,Partner,Invoice,USD,1,7,NEWCUSTOMER10,0.7,0.35,6.65,1,6.65,FALSE,,
E356FA390ABF,order,5/19/2025 9:48,CUST0000851,PROD0067,Brazil,-14.235,-51.9253,LATAM,Website,Invoice,USD,1,18.92,EDU10,1.89,2.84,19.87,1,19.87,FALSE,,
D3422194A690,order,9/5/2025 13:37,CUST0003865,PROD0047,Germany,51.1657,10.4515,EU,Website,Credit Card,EUR,3,8.49,LOYALTY15,3.82,5.09,26.74,1.06,28.34,FALSE,,
320EE3B43A80,order,9/5/2025 15:04,CUST0002670,PROD0055,United States,39.8283,-98.5795,,Website,Invoice,USD,3,6,N/A,0,0,18,1,18,FALSE,,
C5D6838719B8,order,9/11/2025 18:28,CUST0001629,PROD0078,United Kingdom,55.3781,-3.436,EU,Website,Invoice,GBP,10,259.24,SAVE5,129.62,518.48,2981.26,1.22,3637.14,FALSE,,
B79F91F0CC1D,invoice,8/6/2025 11:53,CUST0000689,PROD0075,Brazil,-14.235,-51.9253,LATAM,Direct Sales,Credit Card,USD,5,20.12,N/A,0,15.09,115.69,1,115.69,FALSE,,
C59FA95A525F,order,5/22/2025 2:46,CUST0003838,PROD0074,United States,39.8283,-98.5795,,Direct Sales,Wire,USD,5,267.4,N/A,0,0,1337,1,1337,FALSE,,
ED8AB30F122D,invoice,9/7/2025 4:39,CUST0003489,PROD0076,France,46.2276,2.2137,EU,Marketplace,Invoice,EUR,3,298.37,N/A,0,179.02,1074.13,1.06,1138.58,FALSE,,
935E33CE47E2,invoice,4/29/2024 3:47,CUST0003886,PROD0053,Australia,-25.2744,133.7751,APAC,Website,Credit Card,AUD,3,43.94,N/A,0,13.18,145,0.66,95.7,FALSE,,
1CCE87A24E84,invoice,5/6/2024 13:40,CUST0001261,PROD0003,United Kingdom,55.3781,-3.436,EU,Partner,Credit Card,GBP,1,23.77,N/A,0,4.75,28.52,1.22,34.79,FALSE,,
D24FDF3EA5A6,order,7/3/2025 2:36,CUST0002686,PROD0033,Philippines,12.8797,121.774,APAC,Website,PayPal,USD,1,9,N/A,0,1.35,10.35,1,10.35,FALSE,,
C95449B90D62,order,12/17/2024 14:41,CUST0000901,PROD0020,Spain,40.4637,-3.7492,EU,Website,Wire,EUR,20,135.85,NEWCUSTOMER10,271.7,543.4,2988.7,1.06,3168.02,FALSE,,
6F9F5B82D91C,order,6/6/2025 0:06,CUST0002595,PROD0022,United States,39.8283,-98.5795,,Marketplace,PayPal,USD,1,96,N/A,0,0,96,1,96,FALSE,,
E6900BBE14CF,order,1/12/2025 17:59,CUST0000141,PROD0020,Philippines,12.8797,121.774,APAC,Website,Wire,USD,10,144,N/A,0,216,1656,1,1656,FALSE,,
1D6C21814459,order,8/29/2025 3:42,CUST0003970,PROD0012,Canada,56.1304,-106.3468,,Marketplace,Credit Card,USD,3,399,NEWCUSTOMER10,119.7,59.85,1137.15,1,1137.15,FALSE,,
480CB5852BCD,invoice,5/27/2024 16:54,CUST0001867,PROD0087,Australia,-25.2744,133.7751,APAC,Reseller,Invoice,AUD,1,22.67,BFCM10,2.27,2.27,22.67,0.66,14.96,FALSE,,
EF44AC733FC8,order,4/26/2025 3:36,CUST0003110,PROD0076,United Kingdom,55.3781,-3.436,EU,Website,Credit Card,GBP,5,259.24,N/A,0,259.24,1555.44,1.22,1897.64,FALSE,,
E6A363932C04,order,4/25/2024 1:59,CUST0001526,PROD0002,United States,39.8283,-98.5795,,Direct Sales,Credit Card,USD,10,499,N/A,0,0,4990,1,4990,FALSE,,
1C970BAE4D97,invoice,7/12/2024 3:28,CUST0001256,PROD0019,Canada,56.1304,-106.3468,,Marketplace,Credit Card,USD,3,15,BFCM20,9,2.25,38.25,1,38.25,FALSE,,
8BA561914D85,order,7/21/2025 4:19,CUST0003541,PROD0025,United Kingdom,55.3781,-3.436,EU,Reseller,Invoice,GBP,1,23.77,BFCM10,2.38,4.75,26.14,1.22,31.89,FALSE,,
E5BE91BB5FBF,order,9/29/2024 7:18,CUST0003154,PROD0029,United Kingdom,55.3781,-3.436,EU,Website,PayPal,GBP,1,4.1,N/A,0,0.82,4.92,1.22,6,FALSE,,
49CB5D9A24FC,order,10/12/2025 20:23,CUST0001116,PROD0012,Philippines,12.8797,121.774,APAC,Partner,Credit Card,USD,3,399,N/A,0,179.55,1376.55,1,1376.55,FALSE,,
44735B9FA40D,order,10/29/2024 23:57,CUST0000409,PROD0041,United States,39.8283,-98.5795,,Marketplace,Credit Card,USD,5,12,N/A,0,0,60,1,60,FALSE,,
CF50F3DB165C,order,6/25/2025 23:11,CUST0002553,PROD0077,Australia,-25.2744,133.7751,APAC,Website,Invoice,AUD,10,37.88,NEWCUSTOMER10,37.88,37.88,378.8,0.66,250.01,FALSE,,
1998D46B3E7F,invoice,9/30/2025 3:51,CUST0000658,PROD0059,France,46.2276,2.2137,EU,Website,Wire,EUR,1,27.36,N/A,0,5.47,32.83,1.06,34.8,FALSE,,
A9C33D2F4694,order,10/11/2024 22:49,CUST0003652,PROD0023,Netherlands,52.1326,5.2913,EU,Direct Sales,Invoice,EUR,1,7.55,N/A,0,1.51,9.06,1.06,9.6,FALSE,,
4115C6E3F313,invoice,10/10/2025 1:40,CUST0001351,PROD0035,United States,39.8283,-98.5795,,Direct Sales,Credit Card,USD,3,16,N/A,0,0,48,1,48,FALSE,,
2645AF6E98F2,order,5/13/2025 12:32,CUST0000684,PROD0053,United States,39.8283,-98.5795,,Website,Credit Card,USD,3,29,N/A,0,0,87,1,87,FALSE,,
4EF24FFC9AEE,order,10/4/2025 19:42,CUST0001395,PROD0100,Spain,40.4637,-3.7492,EU,Website,Credit Card,EUR,10,298.37,N/A,0,596.74,3580.44,1.06,3795.27,FALSE,,
64FF00726831,order,10/2/2024 22:49,CUST0000243,PROD0006,United States,39.8283,-98.5795,,Website,Invoice,USD,3,149,N/A,0,0,447,1,447,FALSE,,
30777EF8C1D4,invoice,1/28/2025 2:24,CUST0003777,PROD0052,Germany,51.1657,10.4515,EU,Website,Wire,EUR,3,188.68,N/A,0,113.21,679.25,1.06,720,FALSE,,
4E425A1F14A0,order,6/1/2025 22:19,CUST0003198,PROD0089,Australia,-25.2744,133.7751,APAC,Direct Sales,Invoice,AUD,10,35.53,N/A,0,35.53,390.83,0.66,257.95,FALSE,,
2897B026E539,order,10/3/2025 6:26,CUST0003152,PROD0086,United States,39.8283,-98.5795,,Website,Invoice,USD,10,225.15,N/A,0,0,2251.5,1,2251.5,FALSE,,
AB184AA81FD5,order,9/22/2024 7:14,CUST0003681,PROD0050,United Kingdom,55.3781,-3.436,EU,Website,Credit Card,GBP,1,106.56,N/A,0,21.31,127.87,1.22,156,FALSE,,
AFBAEAF3DDA9,order,1/10/2025 14:30,CUST0003096,PROD0025,Brazil,-14.235,-51.9253,LATAM,Website,Credit Card,USD,1,29,N/A,0,4.35,33.35,1,33.35,FALSE,,
D51553223C74,order,6/24/2025 20:38,CUST0003996,PROD0046,Australia,-25.2744,133.7751,APAC,Website,PayPal,AUD,1,227.27,N/A,0,22.73,250,0.66,165,FALSE,,
